Date,Open,High,Low,Close
1-January-2020,15699.53,15734.92,15674.02,15694.44
2-January-2020,15713.68,15845.01,15710.36,15838.69
3-January-2020,15844.88,15845.26,15734.58,15777.51
6-January-2020,15749.73,15749.73,15443.81,15466.47
7-January-2020,15571.04,15683.38,15498.57,15554.84
8-January-2020,15457.27,15546.36,15399.68,15539.30
9-January-2020,15674.88,15790.40,15669.33,15779.59
10-January-2020,15821.04,15906.74,15787.22,15835.35
13-January-2020,15893.59,15947.84,15877.82,15942.11
14-January-2020,15960.58,16008.04,15927.62,15996.72
15-January-2020,16004.86,16028.28,15928.35,16014.80
16-January-2020,16044.43,16087.25,16000.60,16048.77
17-January-2020,16046.25,16097.26,16015.50,16062.95
20-January-2020,16156.88,16158.41,15914.48,15921.29
21-January-2020,15912.32,15934.19,15850.53,15860.72
22-January-2020,15903.81,15931.72,15781.60,15796.54
23-January-2020,15821.60,15926.47,15795.69,15917.63
24-January-2020,15920.97,16044.67,15886.17,16013.34
27-January-2020,15987.11,16005.05,15866.84,15879.53
28-January-2020,15929.33,15944.21,15771.20,15806.64
29-January-2020,15865.07,15939.11,15864.68,15891.90
30-January-2020,15946.43,15946.43,15722.17,15747.03
31-January-2020,15825.83,15827.29,15633.01,15649.81
1-February-2020,15665.87,15741.15,15211.70,15248.38
3-February-2020,15255.50,15369.03,15179.74,15319.69
4-February-2020,15424.85,15646.03,15409.89,15635.88
5-February-2020,15691.10,15800.42,15628.17,15792.95
6-February-2020,15825.77,15906.62,15796.03,15875.09
7-February-2020,15911.04,15911.04,15829.39,15866.56
10-February-2020,15887.39,15888.51,15735.75,15779.84
11-February-2020,15847.47,15934.45,15832.25,15841.41
12-February-2020,15885.99,15972.37,15885.44,15921.17
13-February-2020,15964.80,15964.80,15850.36,15890.91
14-February-2020,15908.91,15977.95,15780.35,15797.63
17-February-2020,15832.24,15842.78,15677.00,15684.42
18-February-2020,15683.89,15683.94,15493.62,15614.26
19-February-2020,15695.64,15817.09,15691.11,15808.75
20-February-2020,15824.05,15881.67,15776.10,15787.45
24-February-2020,15753.21,15753.21,15448.28,15469.29
25-February-2020,15523.90,15554.50,15398.80,15418.71
26-February-2020,15390.40,15401.25,15215.92,15256.99
27-February-2020,15279.51,15279.51,15056.34,15183.85
28-February-2020,14956.79,14956.79,14597.05,14627.62
2-March-2020,14845.25,14947.11,14431.73,14549.71
3-March-2020,14668.11,14815.09,14583.22,14783.59
4-March-2020,14823.38,14841.78,14465.68,14676.22
5-March-2020,14743.71,14844.79,14665.42,14706.49
6-March-2020,14385.68,14402.51,14152.61,14355.82
9-March-2020,14158.87,14158.87,13502.43,13668.30
11-March-2020,13642.29,13794.30,13560.32,13652.78
12-March-2020,13229.61,13229.61,12423.79,12517.50
13-March-2020,11965.70,13147.48,11276.70,12941.75
16-March-2020,12631.10,12631.10,11986.94,12024.19
17-March-2020,12080.24,12274.09,11700.71,11755.59
