scheme_code,last_nav_date,status,mapped_successor
116811,2022-12-07,unresolved discontinuation,
118341,2022-12-07,unresolved discontinuation,
118344,2023-07-27,unresolved discontinuation,
118345,2023-07-27,unresolved discontinuation,
118347,2023-07-27,unresolved discontinuation,
118348,2023-07-27,unresolved discontinuation,
118349,2023-07-27,unresolved discontinuation,
118350,2023-07-27,unresolved discontinuation,
118452,2023-07-27,unresolved discontinuation,
118495,2022-08-07,unresolved discontinuation,
118512,2022-12-19,unresolved discontinuation,
118514,2022-12-19,unresolved discontinuation,
118516,2022-12-19,unresolved discontinuation,
118518,2022-12-19,unresolved discontinuation,
118519,2022-12-19,unresolved discontinuation,
118530,2022-08-07,unresolved discontinuation,
118553,2023-06-11,unresolved discontinuation,
118554,2021-12-12,unresolved discontinuation,
118560,2022-08-07,unresolved discontinuation,
118565,2025-05-02,unresolved discontinuation,
118583,2025-04-22,unresolved discontinuation,
118595,2025-04-22,unresolved discontinuation,
118598,2025-04-22,unresolved discontinuation,
118623,2025-04-22,unresolved discontinuation,
118804,2026-04-22,unresolved discontinuation,
118929,2022-01-14,unresolved discontinuation,
118931,2026-05-21,unresolved discontinuation,
119097,2022-09-23,unresolved discontinuation,
119127,2022-09-23,unresolved discontinuation,
119131,2026-07-10,NAV data gap,
119148,2022-07-15,unresolved discontinuation,
119156,2024-11-14,unresolved discontinuation,
119176,2022-07-15,unresolved discontinuation,
119186,2022-07-15,unresolved discontinuation,
119271,2024-10-03,unresolved discontinuation,
119283,2022-11-24,unresolved discontinuation,
119291,2022-11-24,unresolved discontinuation,
119298,2022-11-24,unresolved discontinuation,
119308,2022-11-24,unresolved discontinuation,
119326,2022-03-13,unresolved discontinuation,
119337,2022-03-13,unresolved discontinuation,
119347,2022-11-24,unresolved discontinuation,
119367,2022-03-13,unresolved discontinuation,
119389,2022-03-13,unresolved discontinuation,
119392,2022-03-13,unresolved discontinuation,
119397,2022-11-24,unresolved discontinuation,
119404,2022-11-24,unresolved discontinuation,
119410,2022-03-13,unresolved discontinuation,
119413,2022-11-24,unresolved discontinuation,
119417,2022-11-24,unresolved discontinuation,
119425,2022-11-24,unresolved discontinuation,
119428,2022-11-24,unresolved discontinuation,
119431,2022-11-24,unresolved discontinuation,
119441,2021-12-30,unresolved discontinuation,
119448,2021-12-30,unresolved discontinuation,
119451,2021-12-30,unresolved discontinuation,
119452,2021-12-30,unresolved discontinuation,
119457,2021-12-30,unresolved discontinuation,
119462,2021-12-30,unresolved discontinuation,
119464,2021-12-30,unresolved discontinuation,
119468,2021-12-30,unresolved discontinuation,
119472,2021-12-30,unresolved discontinuation,
119474,2021-12-30,unresolved discontinuation,
119482,2021-12-30,unresolved discontinuation,
119484,2021-12-30,unresolved discontinuation,
119488,2021-12-30,unresolved discontinuation,
119518,2023-07-28,unresolved discontinuation,
119535,2025-11-25,unresolved discontinuation,
119576,2023-07-28,unresolved discontinuation,
119578,2021-12-24,unresolved discontinuation,
119661,2023-04-13,unresolved discontinuation,
119664,2021-12-31,unresolved discontinuation,
119680,2021-12-31,unresolved discontinuation,
119686,2021-12-31,unresolved discontinuation,
119786,2022-11-24,unresolved discontinuation,
119790,2022-11-24,unresolved discontinuation,
119795,2022-11-24,unresolved discontinuation,
119802,2022-11-24,unresolved discontinuation,
119807,2022-11-24,unresolved discontinuation,
119809,2022-11-24,unresolved discontinuation,
119843,2026-07-10,NAV data gap,
119844,2022-11-24,unresolved discontinuation,
119849,2022-11-24,unresolved discontinuation,
119852,2022-11-24,unresolved discontinuation,
119856,2022-11-24,unresolved discontinuation,
119876,2022-09-23,unresolved discontinuation,
119893,2022-03-13,unresolved discontinuation,
119960,2026-02-20,unresolved discontinuation,
119984,2022-03-13,unresolved discontinuation,
119988,2022-03-13,unresolved discontinuation,
119992,2022-03-13,unresolved discontinuation,
120002,2022-03-13,unresolved discontinuation,
120008,2022-03-13,unresolved discontinuation,
120034,2022-11-25,unresolved discontinuation,
120048,2022-11-25,unresolved discontinuation,
120062,2022-11-25,unresolved discontinuation,
120066,2022-11-25,unresolved discontinuation,
120069,2022-11-25,unresolved discontinuation,
120079,2026-01-23,unresolved discontinuation,
120082,2022-03-13,unresolved discontinuation,
120131,2022-03-13,unresolved discontinuation,
120147,2022-03-13,unresolved discontinuation,
120334,2026-07-10,NAV data gap,
120524,2026-07-10,NAV data gap,
120760,2026-07-10,NAV data gap,
120821,2026-07-10,NAV data gap,
120877,2022-05-11,unresolved discontinuation,
120903,2022-05-11,unresolved discontinuation,
120970,2022-05-11,unresolved discontinuation,
121034,2022-05-11,unresolved discontinuation,
121182,2025-03-25,unresolved discontinuation,
121413,2022-05-11,unresolved discontinuation,
121722,2025-03-25,unresolved discontinuation,
122165,2025-03-25,unresolved discontinuation,
122642,2022-05-11,unresolved discontinuation,
123402,2022-09-29,unresolved discontinuation,
123637,2023-07-27,unresolved discontinuation,
124596,2022-05-11,unresolved discontinuation,
125953,2022-05-11,unresolved discontinuation,
126031,2022-05-11,unresolved discontinuation,
