strategy,model,freq,cost_bps,gross_cumulative_return,net_cumulative_return,cumulative_one_way_turnover,average_monthly_one_way_turnover,total_cost_paid_as_pct_of_initial_portfolio_value,gross_to_net_cumulative_return_drag,maximum_drawdown,total_suspension_events,number_of_unique_schemes_suspended,maximum_concurrent_suspended_positions,average_suspension_age_days,maximum_suspension_age_days,average_suspended_weight,maximum_suspended_weight
HistGBM_1m_0bps,hgb,1m,0,0.12442431341604254,0.12442431341604254,8.556139765874939,0.37200607677717124,0.0,0.0,0.06403368680495325,2,2,3,161.47826086956522,487,0.00666409496288736,0.01709231535992568
HistGBM_1m_25bps,hgb,1m,25,0.12442431341604254,0.09950649338419848,8.556139765874939,0.37200607677717124,0.022110302223147128,0.024917820031844062,0.06740655520615058,2,2,3,161.47826086956522,487,0.00666409496288736,0.01709231535992568
HistGBM_1m_50bps,hgb,1m,50,0.12442431341604254,0.07511402053075367,8.556139765874939,0.37200607677717124,0.04371737141232229,0.049310292885288876,0.07076976104322019,2,2,3,161.47826086956522,487,0.00666409496288736,0.01709231535992568
HistGBM_1m_100bps,hgb,1m,100,0.12442431341604254,0.027863232133224836,8.556139765874939,0.37200607677717124,0.08546237011304297,0.0965610812828177,0.07746726749612143,2,2,3,161.47826086956522,487,0.00666409496288736,0.01709231535992568
HistGBM_6m_Avg_0bps,hgb,6m,0,0.1102809288701232,0.1102809288701232,2.789851936944135,0.1212979103019189,0.0,0.0,0.07142645192642894,7,7,8,118.06459627329194,487,0.025819561867795143,0.05258698860297251
HistGBM_6m_Avg_25bps,hgb,6m,25,0.1102809288701232,0.10149927382411694,2.789851936944135,0.1212979103019189,0.007183466638993583,0.008781655046006254,0.0724228271858417,7,7,8,118.06459627329194,487,0.025819561867795143,0.05258698860297251
HistGBM_6m_Avg_50bps,hgb,6m,50,0.1102809288701232,0.09277886674782065,2.789851936944135,0.1212979103019189,0.014305641094595306,0.017502062122302542,0.07341835174640898,7,7,8,118.06459627329194,487,0.025819561867795143,0.05258698860297251
HistGBM_6m_Avg_100bps,hgb,6m,100,0.1102809288701232,0.07552024582600203,2.789851936944135,0.1212979103019189,0.02836770175664297,0.034760683044121166,0.07540685093824806,7,7,8,118.06459627329194,487,0.025819561867795143,0.05258698860297251
Mom_1m_0bps,mom,1m,0,0.12147573978889459,0.12147573978889459,5.484740782264062,0.2384669905332201,0.0,0.0,0.06761989578708949,4,4,5,147.1086956521739,487,0.014850241283323191,0.028773230416531854
Mom_1m_25bps,mom,1m,25,0.12147573978889459,0.10514633421148845,5.484740782264062,0.2384669905332201,0.014108353555454051,0.016329405577406142,0.06991500989165511,4,4,5,147.1086956521739,487,0.014850241283323191,0.028773230416531854
Mom_1m_50bps,mom,1m,50,0.12147573978889459,0.08904021409458007,5.484740782264062,0.2384669905332201,0.02800068191156792,0.032435525694314515,0.07220569588912218,4,4,5,147.1086956521739,487,0.014850241283323191,0.028773230416531854
Mom_1m_100bps,mom,1m,100,0.12147573978889459,0.057486379945276056,5.484740782264062,0.2384669905332201,0.055148521768505036,0.06398935984361853,0.07677380872557482,4,4,5,147.1086956521739,487,0.014850241283323191,0.028773230416531854
Mom_6m_Avg_0bps,mom,6m,0,0.11281678909055981,0.11281678909055981,2.4684375681602857,0.10732337252870808,0.0,0.0,0.07339673267332714,6,6,7,122.95652173913044,487,0.02899796340747762,0.05653941524934317
Mom_6m_Avg_25bps,mom,6m,25,0.11281678909055981,0.10495819036140897,2.4684375681602857,0.10732337252870808,0.0063527869891224385,0.007858598729150845,0.07416519929130705,6,6,7,122.95652173913044,487,0.02899796340747762,0.05653941524934317
Mom_6m_Avg_50bps,mom,6m,50,0.11281678909055981,0.09714724632819416,2.4684375681602857,0.10732337252870808,0.012656917945076222,0.01566954276236565,0.07493316678588768,6,6,7,122.95652173913044,487,0.02899796340747762,0.05653941524934317
Mom_6m_Avg_100bps,mom,6m,100,0.11281678909055981,0.08166728585186322,2.4684375681602857,0.10732337252870808,0.02512030293653397,0.031149503238696585,0.0764676053595712,6,6,7,122.95652173913044,487,0.02899796340747762,0.05653941524934317
Benchmark_1m_0bps,bmk,1m,0,0.11513796437640744,0.11513796437640744,0.996040090527936,0.04330609089251895,0.0,0.0,0.05890329557423646,83,83,89,148.65485047213383,638,0.030789179093167793,0.07721151619279924
Benchmark_1m_25bps,bmk,1m,25,0.11513796437640744,0.11137753380044435,0.996040090527936,0.04330609089251895,0.0025491551378344123,0.003760430575963092,0.05918421859513723,83,83,89,148.65485047213383,638,0.030789179093167793,0.07721151619279924
