date,total_funds,evaluated_funds
2021-07-31,1421,1249
2021-08-31,1401,1252
2021-09-30,1389,1244
2021-10-31,1362,1179
2021-11-30,1358,1125
2021-12-31,1373,1104
2022-01-31,1357,1102
2022-02-28,1366,1115
2022-03-31,1378,1140
2022-04-30,1305,1134
2022-05-31,1242,1130
2022-06-30,1208,1090
2022-07-31,1183,1083
2022-08-31,1198,1105
2022-09-30,1213,1125
2022-10-31,1227,1139
2022-11-30,1266,1167
2022-12-31,1260,1198
2023-01-31,1267,1203
2023-02-28,1289,1200
2023-03-31,1322,1227
2023-04-30,1319,1233
2023-05-31,1311,1234
2023-06-30,1308,1247
2023-07-31,1318,1259
2023-08-31,1301,1266
2023-09-30,1310,1284
2023-10-31,1310,1285
2023-11-30,1322,1299
2023-12-31,1343,1313
2024-01-31,1348,1317
2024-02-29,1363,1332
2024-03-31,1379,1351
2024-04-30,1378,1354
2024-05-31,1383,1360
2024-06-30,1395,1376
2024-07-31,1403,1383
2024-08-31,1413,1392
2024-09-30,1436,1414
2024-10-31,1455,1424
2024-11-30,1472,1437
2024-12-31,1529,1492
2025-01-31,1533,1493
2025-02-28,1550,1510
2025-03-31,1578,1541
2025-04-30,1570,1540
2025-05-31,1581,1555
2025-06-30,1600,1573
2025-07-31,1622,1597
2025-08-31,1640,1612
2025-09-30,1656,1628
2025-10-31,1660,1616
2025-11-30,1667,1611
2025-12-31,1689,1629
2026-01-31,1695,0
2026-02-28,1712,0
2026-03-31,1740,0
2026-04-30,1728,0
2026-05-31,1718,0
2026-06-30,1719,0
