normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
active momentum fund,,,ambiguous,"[153364, 153274, 153684, 153753]","[153365, 153276, 153755]"
aggressive hybrid fund,,,ambiguous,"[119019, 120261, 118794, 119053, 120674, 133035, 134813, 140382, 144394]","[100081, 100323, 100414, 100684, 133036, 134815, 140381, 144393]"
arbitrage fund,,,ambiguous,"[119526, 118474, 118931, 120364, 119771, 118585, 120795, 129052, 130773, 142283, 145895, 145724, 147927, 148401, 153187]","[112088, 108845, 106793, 106796, 105968, 104075, 130771, 142282, 145890, 145723, 147922, 148400, 153188]"
balanced advantage fund,,,ambiguous,"[118968, 120377, 118737, 118736, 131670, 131355, 141642, 144335, 146010, 148026, 149134, 149261, 150470, 151885]","[131666, 131357, 141644, 144333, 146007, 148024, 149132, 149259, 150473, 151882]"
banking & financial services fund,,,ambiguous,"[118588, 118589, 133859, 148986, 151384, 152206]","[133858, 151381, 152208]"
banking & psu debt fund,,,ambiguous,"[119550, 120533, 120438, 124175, 147636]","[108273, 103176, 103188, 117446, 124172, 147635]"
banking & psu fund,,,ambiguous,"[120338, 125503, 126940]","[105823, 126939]"
banking & psu fund formerly known as sundaram banking and psu debt fund,,,ambiguous,[119625],"[100784, 100781]"
banking and financial services fund,,,ambiguous,"[120244, 120733, 125597, 134017, 135793, 148623]","[102401, 125595, 134016, 135794, 148621]"
banking and psu debt fund,,,ambiguous,"[120256, 128629]",[113242]
banking and psu fund,,,ambiguous,"[121279, 134547, 134552, 148419]","[121280, 148416]"
bnp paribas liquid fund,,,ambiguous,"[120123, 130479]","[113640, 130459]"
bond fund,,,ambiguous,"[118924, 120619, 119735]",[100299]
bse housing index fund,,,ambiguous,"[151764, 152039]","[151763, 152038]"
bse india sector leaders index fund,,,ambiguous,[153838],"[153839, 153958]"
bse sensex index fund,,,ambiguous,"[120308, 149803, 151769, 152422, 153286]","[101199, 149802, 151765, 152421, 153284]"
bse sensex next 30 index fund,,,ambiguous,"[153219, 153567]","[153216, 153566]"
business cycle fund,,,ambiguous,"[148651, 149071, 149295, 150805, 152677, 152878, 152796, 153121]","[149068, 149296, 150626, 152678, 152877, 152794, 153122]"
