subgroup_type,subgroup_value,case_count,success_count,success_probability,wilson_ci_lo,wilson_ci_hi,adequate_sample
category,Arbitrage,44,0,0.0,0.0,0.0803,True
category,Debt,483,7,0.0145,0.007,0.0296,True
category,Equity,499,355,0.7114,0.6702,0.7494,True
category,FoF/International,37,25,0.6757,0.5146,0.8037,True
category,Hybrid,157,72,0.4586,0.3826,0.5366,True
category,Liquid/Money Market,168,1,0.006,0.0011,0.0329,True
category,Other,673,415,0.6166,0.5793,0.6526,True
cohort_year,2018,466,116,0.2489,0.2118,0.2901,True
cohort_year,2019,491,253,0.5153,0.4711,0.5592,True
cohort_year,2020,537,308,0.5736,0.5313,0.6147,True
cohort_year,2021,567,198,0.3492,0.3111,0.3893,True
past_cagr_quartile,Q1,516,320,0.6202,0.5775,0.661,True
past_cagr_quartile,Q2,515,22,0.0427,0.0284,0.0638,True
past_cagr_quartile,Q3,515,209,0.4058,0.3643,0.4488,True
past_cagr_quartile,Q4,515,324,0.6291,0.5866,0.6697,True
