scheme_code,scheme_name,minimum_NAV_date,maximum_NAV_date,observation_count,history_years,plan_type,option_type,missing_month_count,largest_data_gap_days,eligible_for_5y_past_window,eligible_for_5y_past_and_future_window
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
103490,Quantum Value Fund - Direct Plan Growth Option,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
103734,Quantum Liquid Fund - Direct Plan Growth Option,2021-07-12,2026-07-12,1343,4.999315537303217,Unknown,Unknown,0,0,False,False
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
115132,Quantum Gold ETF FOF - Direct Plan Growth Option,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
116811,IDBI Dynamic Bond Fund Growth Direct,2021-07-12,2022-12-07,342,1.404517453798768,Unknown,Unknown,0,0,False,False
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118274,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118282,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118284,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1230,4.993839835728953,Unknown,Unknown,0,0,False,False
118291,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118299,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-12,1306,4.999315537303217,Unknown,Unknown,0,0,False,False
118309,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118317,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118320,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,2021-07-12,2026-07-10,1209,4.993839835728953,Unknown,Unknown,0,0,False,False
118341,IDBI Gilt Fund Growth Direct,2021-07-12,2022-12-07,342,1.404517453798768,Unknown,Unknown,0,0,False,False
118344,IDBI India Top 100 Equity Fund Growth Direct,2021-07-12,2023-07-27,506,2.0396988364134154,Unknown,Unknown,0,0,False,False
118345,IDBI Liquid Fund Growth Direct,2021-07-12,2023-07-27,613,2.0396988364134154,Unknown,Unknown,0,0,False,False
118347,IDBI NIFTY 50  Index Fund Growth Direct,2021-07-12,2023-07-27,506,2.0396988364134154,Unknown,Unknown,0,0,False,False
118348,IDBI Nifty Next 50 Index Fund Growth Direct,2021-07-12,2023-07-27,506,2.0396988364134154,Unknown,Unknown,0,0,False,False
118349,IDBI Short Term Bond Fund Growth Direct,2021-07-12,2023-07-27,498,2.0396988364134154,Unknown,Unknown,0,0,False,False
118350,IDBI UST Growth Direct,2021-07-12,2023-07-27,498,2.0396988364134154,Unknown,Unknown,0,0,False,False
118364,BANDHAN LIQUID Fund -Direct Plan-Growth,2021-07-12,2026-07-12,1558,4.999315537303217,Unknown,Unknown,0,0,False,False
118371,BANDHAN Low Duration Fund-Direct Plan-Growth,2021-07-12,2026-07-10,1218,4.993839835728953,Unknown,Unknown,0,0,False,False
118384,Bandhan Money Market Fund -Direct Plan-Growth,2021-07-12,2026-07-10,1218,4.993839835728953,Unknown,Unknown,0,0,False,False
