normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
10y g sec fund,131301.0,131297.0,high_confidence_candidate,,
3 years close ended equity fund maturity date 4 jan 2021,131484.0,131482.0,high_confidence_candidate,,
360 one balanced hybrid fund,152076.0,152075.0,high_confidence_candidate,,
360 one dynamic bond fund,122715.0,122612.0,high_confidence_candidate,,
360 one elss tax saver nifty 50 index fund,151165.0,151164.0,high_confidence_candidate,,
360 one flexicap fund,151796.0,151799.0,high_confidence_candidate,,
360 one focused fund,131580.0,131578.0,high_confidence_candidate,,
360 one liquid fund,125345.0,125259.0,high_confidence_candidate,,
360 one multi asset allocation fund,153774.0,153772.0,high_confidence_candidate,,
360 one overnight fund,153703.0,153700.0,high_confidence_candidate,,
360 one quant fund,149318.0,149317.0,high_confidence_candidate,,
5 star multi manager fof scheme,131901.0,131899.0,high_confidence_candidate,,
5 year g sec fund of fund,149240.0,149241.0,high_confidence_candidate,,
50 50 strategic sector fund,118426.0,110462.0,high_confidence_candidate,,
a c e fund analyst's conviction equalized series 1,141971.0,141969.0,high_confidence_candidate,,
a c e fund analyst's conviction equalized series 2,142499.0,142498.0,high_confidence_candidate,,
abakkus flexi cap fund,154043.0,154041.0,high_confidence_candidate,,
abakkus liquid fund,154051.0,154047.0,high_confidence_candidate,,
abakkus small cap fund,154215.0,154214.0,high_confidence_candidate,,
active momentum fund,,,ambiguous,"[153364, 153274, 153684, 153753]","[153365, 153276, 153755]"
aggressive hybrid active fof,,,rejected,,
aggressive hybrid fund,,,ambiguous,"[119019, 120261, 118794, 119053, 120674, 133035, 134813, 140382, 144394]","[100081, 100323, 100414, 100684, 133036, 134815, 140381, 144393]"
aggressive hybrid fund formerly known as principal hybrid equity fund,,,rejected,,
aggressive hybrid fund segregated portfolio 1,,,rejected,,
aggressive hybrid fund segregated portfolio 2,,,rejected,,
aggressive hybrid omni fof,132185.0,132174.0,high_confidence_candidate,,
aggressive hybrid passive fof,118485.0,112332.0,high_confidence_candidate,,
all seasons bond fund,,,rejected,,
angel one gold etf fof,153827.0,153828.0,high_confidence_candidate,,
angel one nifty 50 index fund,153529.0,153530.0,high_confidence_candidate,,
angel one nifty total market index fund,153330.0,153331.0,high_confidence_candidate,,
angel one nifty total market momentum quality 50 index fund,153956.0,153955.0,high_confidence_candidate,,
angel one silver etf fof,154206.0,154207.0,high_confidence_candidate,,
annual interval fund i,123646.0,106183.0,high_confidence_candidate,,
annual interval fund ii,125077.0,106707.0,high_confidence_candidate,,
annual interval fund series i,,,rejected,,
annual interval fund series i a,121541.0,121536.0,high_confidence_candidate,,
annual interval fund series i b,121552.0,121546.0,high_confidence_candidate,,
arbitrage fund,,,ambiguous,"[119526, 118474, 118931, 120364, 119771, 118585, 120795, 129052, 130773, 142283, 145895, 145724, 147927, 148401, 153187]","[112088, 108845, 106793, 106796, 105968, 104075, 130771, 142282, 145890, 145723, 147922, 148400, 153188]"
arbitrage fund formerly known as prinicpal arbitrage fund,,,rejected,,
asian equity fund,,,rejected,,
asset allocation aggressive,,,rejected,,
asset allocation conservative,,,rejected,,
asset allocation fof c,148750.0,148749.0,high_confidence_candidate,,
asset allocation moderate,,,rejected,,
assethang seng tech etf fund of fund,,,rejected,,
automotive opportunities fund,152657.0,152658.0,high_confidence_candidate,,
bajaj finserv arbitrage fund,152077.0,152078.0,high_confidence_candidate,,
bajaj finserv balanced advantage fund,152194.0,152196.0,high_confidence_candidate,,
bajaj finserv banking and financial services fund,153937.0,153935.0,high_confidence_candidate,,
