scheme_code,scheme_name,category,prediction_date,past_start_intended,past_start_actual,prediction_NAV_date,future_end_intended,future_end_actual,past_5y_CAGR,future_5y_CAGR,window_status
103490,Quantum Value Fund - Direct Plan Growth Option,Other,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,16.0465,8.6362,complete
103490,Quantum Value Fund - Direct Plan Growth Option,Other,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,13.2821,14.4452,complete
103490,Quantum Value Fund - Direct Plan Growth Option,Other,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,-0.7928,27.1971,complete
103490,Quantum Value Fund - Direct Plan Growth Option,Other,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.6794,11.3156,complete
103734,Quantum Liquid Fund - Direct Plan Growth Option,Liquid/Money Market,2018-03-31,2013-03-31,2013-04-01,2018-03-31,2023-03-31,2023-03-31,7.5755,4.8554,complete
103734,Quantum Liquid Fund - Direct Plan Growth Option,Liquid/Money Market,2019-03-31,2014-03-31,2014-03-31,2019-03-31,2024-03-31,2024-03-31,7.1102,4.9165,complete
103734,Quantum Liquid Fund - Direct Plan Growth Option,Liquid/Money Market,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,6.5068,5.1977,complete
103734,Quantum Liquid Fund - Direct Plan Growth Option,Liquid/Money Market,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,5.6167,5.7372,complete
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,16.1238,8.7814,complete
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,13.3969,14.5854,complete
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,-0.6327,27.1044,complete
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.7998,11.4442,complete
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,Equity,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,19.1237,9.1798,complete
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,Equity,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,16.0926,14.8122,complete
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,Equity,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,1.7515,23.7435,complete
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,Equity,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,13.3886,11.0998,complete
115132,Quantum Gold ETF FOF - Direct Plan Growth Option,FoF/International,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,-0.6979,13.0559,complete
115132,Quantum Gold ETF FOF - Direct Plan Growth Option,FoF/International,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,0.7626,14.8354,complete
115132,Quantum Gold ETF FOF - Direct Plan Growth Option,FoF/International,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,9.7243,13.7975,complete
115132,Quantum Gold ETF FOF - Direct Plan Growth Option,FoF/International,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,8.2055,26.0088,complete
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,Hybrid,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,9.977,8.1739,complete
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,Hybrid,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,9.028,10.048,complete
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,Hybrid,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,5.5,13.3125,complete
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,Hybrid,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,9.4087,9.9804,complete
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Other,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,19.0433,12.336,complete
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Other,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,15.3234,24.2603,complete
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Other,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,-2.2958,36.1649,complete
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Other,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.296,22.8966,complete
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Equity,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,15.3522,14.4118,complete
