scheme_code,scheme_name,legacy_nav,legacy_nav_date,download_nav,verification_status
103734,,37.3603,2026-07-12,,unable_to_verify
118305,,3368.7349,2026-07-12,,unable_to_verify
118364,,3394.2214,2026-07-12,,unable_to_verify
118577,,4226.1202,2026-07-12,,unable_to_verify
118701,,6882.2841,2026-07-12,,unable_to_verify
118859,,2967.196,2026-07-12,,unable_to_verify
119091,,5519.3469,2026-07-12,,unable_to_verify
119110,,4050.367,2026-07-12,,unable_to_verify
119125,,4020.701,2026-07-12,,unable_to_verify
119135,,2724.8242,2026-07-12,,unable_to_verify
119164,,30.3516,2026-07-12,,unable_to_verify
119303,,2711.401,2026-07-12,,unable_to_verify
119369,,3237.1816,2026-07-12,,unable_to_verify
119415,,3239.1569,2026-07-12,,unable_to_verify
119766,,5679.068,2026-07-12,,unable_to_verify
119800,,4393.9805,2026-07-12,,unable_to_verify
119833,,4442.7404,2026-07-12,,unable_to_verify
119861,,4437.0895,2026-07-12,,unable_to_verify
120038,,2800.5932,2026-07-12,,unable_to_verify
120197,,415.9504,2026-07-12,,unable_to_verify
120249,,5102.9673,2026-07-12,,unable_to_verify
120304,,460.8749,2026-07-12,,unable_to_verify
120389,,3127.8043,2026-07-12,,unable_to_verify
120406,,76.6748,2026-07-12,,unable_to_verify
120537,,3857.7997,2026-07-12,,unable_to_verify
120785,,3740.3531,2026-07-12,,unable_to_verify
120837,,45.0234,2026-07-12,,unable_to_verify
125345,,2151.2277,2026-07-12,,unable_to_verify
138299,,366.8196,2026-07-12,,unable_to_verify
139538,,1830.5995,2026-07-12,,unable_to_verify
140196,,3633.9797,2026-07-12,,unable_to_verify
143269,,1554.1969,2026-07-12,,unable_to_verify
145536,,1472.4561,2026-07-12,,unable_to_verify
145810,,146.7937,2026-07-12,,unable_to_verify
145834,,14.8052,2026-07-12,,unable_to_verify
145971,,1504.2396,2026-07-12,,unable_to_verify
146062,,1463.6902,2026-07-12,,unable_to_verify
146141,,1457.95,2026-07-12,,unable_to_verify
146191,,1457.3077,2026-07-12,,unable_to_verify
146675,,1446.5218,2026-07-12,,unable_to_verify
146963,,1451.2351,2026-07-12,,unable_to_verify
146980,,1442.6098,2026-07-12,,unable_to_verify
147003,,1438.4113,2026-07-12,,unable_to_verify
147157,,1459.3931,2026-07-12,,unable_to_verify
147196,,1435.3617,2026-07-12,,unable_to_verify
147214,,1425.552,2026-07-12,,unable_to_verify
147287,,1429.9512,2026-07-12,,unable_to_verify
147450,,1407.5571,2026-07-12,,unable_to_verify
147515,,1416.4922,2026-07-12,,unable_to_verify
147531,,1410.402,2026-07-12,,unable_to_verify
147564,,1414.1631,2026-07-12,,unable_to_verify
147570,,1413.4675,2026-07-12,,unable_to_verify
147606,,1408.4382,2026-07-12,,unable_to_verify
147713,,1382.1495,2026-07-12,,unable_to_verify
147736,,1401.3729,2026-07-12,,unable_to_verify
147837,,1384.378,2026-07-12,,unable_to_verify
147883,,1380.6594,2026-07-12,,unable_to_verify
147951,,1390.0894,2026-07-12,,unable_to_verify
148413,,41.4437,2026-07-12,,unable_to_verify
148414,,41.4437,2026-07-12,,unable_to_verify
148841,,1360.3527,2026-07-12,,unable_to_verify
149664,,2483.5629,2026-07-12,,unable_to_verify
149797,,1291.7958,2026-07-12,,unable_to_verify
149826,,1073.9936,2026-07-12,,unable_to_verify
149829,,1384.3983,2026-07-12,,unable_to_verify
150369,,1264.5298,2026-07-12,,unable_to_verify
150631,,1247.3311,2026-07-12,,unable_to_verify
151190,,12.4841,2026-07-12,,unable_to_verify
151833,,1226.8842,2026-07-12,,unable_to_verify
151849,,1198.9764,2026-07-12,,unable_to_verify
152152,,1171.6461,2026-07-12,,unable_to_verify
153035,,1110.0137,2026-07-12,,unable_to_verify
153436,,10.691,2026-07-12,,unable_to_verify
153570,,1065.7334,2026-07-12,,unable_to_verify
153650,,1055.1268,2026-07-12,,unable_to_verify
153651,,1065.9128,2026-07-12,,unable_to_verify
153703,,1054.4897,2026-07-12,,unable_to_verify
153883,,1049.5037,2026-07-12,,unable_to_verify
154011,,1042.0823,2026-07-12,,unable_to_verify
154051,,103.4287,2026-07-12,,unable_to_verify
154394,,1261.9272,2026-07-12,,unable_to_verify
154413,,100.1297,2026-07-12,,unable_to_verify
