scheme_code,scheme_name,isin_growth,original_scheme_name,normalized_underlying_name,normalization_rule_version,is_direct,is_regular,is_growth,is_idcw,plan_classification,manual_classification,reviewer_reason,audit_timestamp
148006,Franklin India Short-term Income Plan-Retail Plan- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Weekly Dividend Option,INF090I01US5,Franklin India Short-term Income Plan-Retail Plan- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Weekly Dividend Option,india short term income segregated portfolio 1 8 25% vodafone idea ltd 10jul20 weekly,1.0,True,True,False,True,Ambiguous,,,
133662,Kotak FMP Series 171 (1099 Days) - Growth,INF174K01G82,Kotak FMP Series 171 (1099 Days) - Growth,fmp series 171 1099 days,1.0,False,False,True,False,Ambiguous,,,
117970,HDFC FMP 370D October 2012 (1)-Growth Option,INF179K01TK1,HDFC FMP 370D October 2012 (1)-Growth Option,fmp 370d october 2012 1,1.0,False,False,True,False,Ambiguous,,,
146722,ICICI Prudential Retirement Fund - Hybrid Aggressive - Growth Option,INF109KC1TU8,ICICI Prudential Retirement Fund - Hybrid Aggressive - Growth Option,retirement fund hybrid aggressive,1.0,False,False,True,False,Ambiguous,,,
117460,TFMP Series 40 Scheme B Growth Option,INF277K01HL6,TFMP Series 40 Scheme B Growth Option,tfmp series 40 scheme b,1.0,False,False,True,False,Ambiguous,,,
119964,ING Income Fund - Regular Plan - Direct Plan - Growth Option,INF084M01CM1,ING Income Fund - Regular Plan - Direct Plan - Growth Option,ing income fund,1.0,True,True,True,False,Ambiguous,,,
127460,UTI FTIF Series XVII - XIII (369 DAYS)-Growth Option,INF789FB1CA1,UTI FTIF Series XVII - XIII (369 DAYS)-Growth Option,ftif series xvii xiii 369 days,1.0,False,False,True,False,Ambiguous,,,
115931,DWS Hybrid Fixed Term Fund - Series 3- Growth,INF223J011Z5,DWS Hybrid Fixed Term Fund - Series 3- Growth,dws hybrid fixed term fund series 3,1.0,False,False,True,False,Ambiguous,,,
117527,DSP BlackRock Dual Advantage Fund - Series 4 - 36M - Growth Option,INF740K01KX2,DSP BlackRock Dual Advantage Fund - Series 4 - 36M - Growth Option,blackrock dual advantage fund series 4 36m,1.0,False,False,True,False,Ambiguous,,,
117830,HDFC FMP 371D August 2012 (1)-Growth Option,INF179K01TB0,HDFC FMP 371D August 2012 (1)-Growth Option,fmp 371d august 2012 1,1.0,False,False,True,False,Ambiguous,,,
105602,ICICI Prudential Infrastructure Fund - Institutional Option - I - Growth,INF109K01AU7,ICICI Prudential Infrastructure Fund - Institutional Option - I - Growth,infrastructure fund i,1.0,False,False,True,False,Ambiguous,,,
131590,Reliance Fixed Horizon Fund XXVII- Series 9- Growth option,INF204KA1WG7,Reliance Fixed Horizon Fund XXVII- Series 9- Growth option,reliance fixed horizon fund xxvii series 9,1.0,False,False,True,False,Ambiguous,,,
150477,HDFC NIFTY NEXT 50 ETF - Growth Option,INF179KC1HS2,HDFC NIFTY NEXT 50 ETF - Growth Option,nifty next 50 etf,1.0,False,False,True,False,Ambiguous,,,
123049,DSP BlackRock FMP - Series 106 -3M - Direct Plan - Dividend Payout - Regular Payout,INF740K01WJ6,DSP BlackRock FMP - Series 106 -3M - Direct Plan - Dividend Payout - Regular Payout,blackrock fmp series 106 3m,1.0,True,True,False,True,Ambiguous,,,
139560,BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED RED 36A-- GROWTH OPTION,INF251K01OJ1,BNP PARIBAS LIQUID FUND SPECIAL UNCLAIMED RED 36A-- GROWTH OPTION,bnp paribas liquid fund special unclaimed red 36a,1.0,False,False,True,False,Ambiguous,,,
133470,Reliance Fixed Horizon Fund XXVIII- Series 4- Growth Option,INF204KA1A81,Reliance Fixed Horizon Fund XXVIII- Series 4- Growth Option,reliance fixed horizon fund xxviii series 4,1.0,False,False,True,False,Ambiguous,,,
117597,DWS Fixed Maturity Plan - Series 18 (DFMP - 18) - Growth,INF223J01LM2,DWS Fixed Maturity Plan - Series 18 (DFMP - 18) - Growth,dws fixed maturity series 18 dfmp 18,1.0,False,False,True,False,Ambiguous,,,
125385,PineBridge India - US Equity Fund - Standard Plan - Growth option,INF178L01CI1,PineBridge India - US Equity Fund - Standard Plan - Growth option,pinebridge india us equity fund standard,1.0,False,False,True,False,Ambiguous,,,
101872,HDFC Dynamic Debt Fund - Growth Option,INF179K01848,HDFC Dynamic Debt Fund - Growth Option,dynamic debt fund,1.0,False,False,True,False,Ambiguous,,,
152981,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth,INF754K01TF1,Edelweiss Nifty500 Multicap Momentum Quality 50 ETF - Growth,edelweiss nifty500 multicap momentum quality 50 etf,1.0,False,False,True,False,Ambiguous,,,
102242,ING Large Cap Equity Fund-Growth Option,INF084M01275,ING Large Cap Equity Fund-Growth Option,ing large cap equity fund,1.0,False,False,True,False,Ambiguous,,,
125856,DSP BlackRock FMP - Series 130 - 12M - Direct Plan - Dividend Payout - Regular Payout,,DSP BlackRock FMP - Series 130 - 12M - Direct Plan - Dividend Payout - Regular Payout,blackrock fmp series 130 12m,1.0,True,True,False,True,Ambiguous,,,
117865,UTI-FTIF Series-XII Plan VIII (1098 Days) - Growth Option,INF789F01QL1,UTI-FTIF Series-XII Plan VIII (1098 Days) - Growth Option,ftif series xii viii 1098 days,1.0,False,False,True,False,Ambiguous,,,
134645,UTI FTIF Series XXII-II (1099 Days) - Growth Option,INF789FB1RT9,UTI FTIF Series XXII-II (1099 Days) - Growth Option,ftif series xxii ii 1099 days,1.0,False,False,True,False,Ambiguous,,,
116926,TFMP Series 39 Scheme F-Growth,INF277K01GY1,TFMP Series 39 Scheme F-Growth,tfmp series 39 scheme f,1.0,False,False,True,False,Ambiguous,,,
112853,DWS Global Agribusiness Fund - Growth,INF223J01AU8,DWS Global Agribusiness Fund - Growth,dws global agribusiness fund,1.0,False,False,True,False,Ambiguous,,,
125851,Kotak FMP Series 129 (371 Days) - Growth,INF174K01G41,Kotak FMP Series 129 (371 Days) - Growth,fmp series 129 371 days,1.0,False,False,True,False,Ambiguous,,,
116679,DWS Fixed Maturity Plan - Series 4 (DFMP - 4) - Growth,INF223JA1AT6,DWS Fixed Maturity Plan - Series 4 (DFMP - 4) - Growth,dws fixed maturity series 4 dfmp 4,1.0,False,False,True,False,Ambiguous,,,
100967,Principal Multi Cap Growth Fund-Growth Option,INF173K01940,Principal Multi Cap Growth Fund-Growth Option,principal multi cap fund,1.0,False,False,True,False,Ambiguous,,,
105562,Sundaram Low Duration Fund Institutional Plan - Growth,INF903J01EG6,Sundaram Low Duration Fund Institutional Plan - Growth,low duration fund,1.0,False,False,True,False,Ambiguous,,,
130204,Tata Dual Advantage Fund Scheme C-Plan A-Growth,INF277K01TB2,Tata Dual Advantage Fund Scheme C-Plan A-Growth,dual advantage fund scheme c a,1.0,False,False,True,False,Ambiguous,,,
125394,Reliance Fixed Horizon Fund - XXV - Series 5 - Growth Option,INF204KA1FJ6,Reliance Fixed Horizon Fund - XXV - Series 5 - Growth Option,reliance fixed horizon fund xxv series 5,1.0,False,False,True,False,Ambiguous,,,
115055,Daiwa Government Securities Fund - Short Term Plan - Growth Option,INF752K01099,Daiwa Government Securities Fund - Short Term Plan - Growth Option,daiwa government securities fund short term,1.0,False,False,True,False,Ambiguous,,,
101404,Sahara Income Fund-Growth,INF515L01031,Sahara Income Fund-Growth,sahara income fund,1.0,False,False,True,False,Ambiguous,,,
117224,Reliance Fixed Horizon Fund - XXI - Series 26 - Growth Option,INF204K01RD6,Reliance Fixed Horizon Fund - XXI - Series 26 - Growth Option,reliance fixed horizon fund xxi series 26,1.0,False,False,True,False,Ambiguous,,,
117732,Sundaram Fixed Term Plan -CX- Growth Option,INF903J01LR8,Sundaram Fixed Term Plan -CX- Growth Option,fixed term cx,1.0,False,False,True,False,Ambiguous,,,
111921,Sundaram India Leadership Fund-Inst Growth,INF903J01447,Sundaram India Leadership Fund-Inst Growth,india leadership fund,1.0,False,False,True,False,Ambiguous,,,
123157,Tata FMP Series 43 Scheme A- Plan A -Growth Option,INF277K01F55,Tata FMP Series 43 Scheme A- Plan A -Growth Option,fmp series 43 scheme a a,1.0,False,False,True,False,Ambiguous,,,
146104,HSBC Fixed Term Series 137 - Growth Option,INF336L01NP7,HSBC Fixed Term Series 137 - Growth Option,hsbc fixed term series 137,1.0,False,False,True,False,Ambiguous,,,
134473,Baroda Pioneer Fixed Maturity Plan Series N - Plan A - Growth Option,INF955L01GN3,Baroda Pioneer Fixed Maturity Plan Series N - Plan A - Growth Option,baroda pioneer fixed maturity series n a,1.0,False,False,True,False,Ambiguous,,,
118247,UTI FTIF Series XIII - I (368 DAYS) - Growth Option,INF789F01RH7,UTI FTIF Series XIII - I (368 DAYS) - Growth Option,ftif series xiii i 368 days,1.0,False,False,True,False,Ambiguous,,,
112054,Edelweiss Gilt Fund - Growth Option,INF754K01434,Edelweiss Gilt Fund - Growth Option,edelweiss gilt fund,1.0,False,False,True,False,Ambiguous,,,
100792,Sundaram Corporate Bond Fund Institutional Plan - Growth,INF903J01IF9,Sundaram Corporate Bond Fund Institutional Plan - Growth,corporate bond fund,1.0,False,False,True,False,Ambiguous,,,
117705,Reliance Dual Advantage Fixed Tenure Fund II - Plan E - Growth Option,INF204K01RX4,Reliance Dual Advantage Fixed Tenure Fund II - Plan E - Growth Option,reliance dual advantage fixed tenure fund ii e,1.0,False,False,True,False,Ambiguous,,,
139048,DHFL Pramerica Hybrid Fixed Term fund - Series 40 - Direct Plan - Regular Dividend,INF223JA1IT9,DHFL Pramerica Hybrid Fixed Term fund - Series 40 - Direct Plan - Regular Dividend,dhfl pramerica hybrid fixed term fund series 40,1.0,True,True,False,True,Ambiguous,,,
117372,Baroda Pioneer 367 Day Fixed Maturity Plan - Series 4 - Growth Option,INF955L01823,Baroda Pioneer 367 Day Fixed Maturity Plan - Series 4 - Growth Option,baroda pioneer 367 day fixed maturity series 4,1.0,False,False,True,False,Ambiguous,,,
124706,Reliance Fixed Horizon Fund - XXIV - Series 22 - Growth Option,INF204KA18D6,Reliance Fixed Horizon Fund - XXIV - Series 22 - Growth Option,reliance fixed horizon fund xxiv series 22,1.0,False,False,True,False,Ambiguous,,,
128578,Kotak FMP Series 148 (388 Days) - Growth,INF174K01M92,Kotak FMP Series 148 (388 Days) - Growth,fmp series 148 388 days,1.0,False,False,True,False,Ambiguous,,,
112092,Franklin Build India Fund Growth Plan,INF090I01AE7,Franklin Build India Fund Growth Plan,build india fund,1.0,False,False,True,False,Ambiguous,,,
142143,Franklin India Fixed Maturity Plans- Series 2- Plan C(1205 days)- Growth,INF090I01MW4,Franklin India Fixed Maturity Plans- Series 2- Plan C(1205 days)- Growth,india fixed maturity plans series 2 c 1205 days,1.0,False,False,True,False,Ambiguous,,,
125790,SBI DEBT FUND SERIES - 90 DAYS - 81 - DIRECT PLAN - GROWTH,INF200K01F81,SBI DEBT FUND SERIES - 90 DAYS - 81 - DIRECT PLAN - GROWTH,debt fund series 90 days 81,1.0,True,False,True,False,Direct Growth,,,
119081,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,INF179K01WI9,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,medium term debt fund,1.0,True,False,True,False,Direct Growth,,,
145009,UTI - Fixed Term Income Fund Series XXX-V (1135 Days) - Direct Plan - Growth Option,INF789F1AAV3,UTI - Fixed Term Income Fund Series XXX-V (1135 Days) - Direct Plan - Growth Option,fixed term income fund series xxx v 1135 days,1.0,True,False,True,False,Direct Growth,,,
154307,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,INF22M001176,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,jioblackrock large cap fund,1.0,True,False,True,False,Direct Growth,,,
153654,Union Low Duration Fund - Direct Plan - Growth Option,INF582M01LQ6,Union Low Duration Fund - Direct Plan - Growth Option,union low duration fund,1.0,True,False,True,False,Direct Growth,,,
136135,Kotak FMP Series 186 - Direct Growth,INF174KA1DW0,Kotak FMP Series 186 - Direct Growth,fmp series 186,1.0,True,False,True,False,Direct Growth,,,
136039,Aditya Birla Sun Life Fixed Term Plan - Series NE (1100 days) - Direct Plan-Growth,INF209KA14Q6,Aditya Birla Sun Life Fixed Term Plan - Series NE (1100 days) - Direct Plan-Growth,fixed term series ne 1100 days,1.0,True,False,True,False,Direct Growth,,,
124501,JM Fixed Maturity Fund - Series XXIV - Plan A (JM FMF - XXIV - A) - (Direct) Growth Option,INF192K01FQ0,JM Fixed Maturity Fund - Series XXIV - Plan A (JM FMF - XXIV - A) - (Direct) Growth Option,jm fixed maturity fund series xxiv a jm fmf xxiv a,1.0,True,False,True,False,Direct Growth,,,
140788,Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 days) - Direct Plan-Growth,INF209KB1DC0,Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 days) - Direct Plan-Growth,fixed term series oe 1153 days,1.0,True,False,True,False,Direct Growth,,,
