scheme_code,latest_name,name_prefix
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,aditya birla sun life gilt plus - liquid plan - quarterly di
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,aditya birla sun life gilt plus - liquid plan - annual divid
100060,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,aditya birla sun life constant maturity 10 year gilt fund -
100061,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,aditya birla sun life constant maturity 10 year gilt fund -
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,aditya birla sun life india opportunities fund - dividend -
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,kotak gilt-investment regular-payout of income distribution
100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW),sundaram medium duration fund (formerly known as sundaram me
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,sundaram medium duration fund (formerly known as sundaram me
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Growth,sundaram medium duration fund (formerly known as sundaram me
100605,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan- Income Distribution cum Capital Withdrawal(IDCW ),sundaram medium duration fund (formerly known as sundaram me
100606,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan- Income Distribution cum Capital Withdrawal (IDCW),sundaram medium duration fund (formerly known as sundaram me
100607,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan -Income Distribution cum Capital Withdrawal (IDCW),sundaram medium duration fund (formerly known as sundaram me
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,sundaram medium duration fund (formerly known as sundaram me
100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Income Distribution cum Capital Withdrawal(IDCW),sundaram medium duration fund (formerly known as sundaram me
100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Income Distribution cum Capital Withdrawal (IDCW),sundaram medium duration fund (formerly known as sundaram me
100611,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan -Growth,sundaram medium duration fund (formerly known as sundaram me
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),sundaram banking & psu fund (formerly known as sundaram bank
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,sundaram banking & psu fund (formerly known as sundaram bank
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),sundaram banking & psu fund (formerly known as sundaram bank
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),sundaram banking & psu fund (formerly known as sundaram bank
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,sundaram banking & psu fund (formerly known as sundaram bank
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),sundaram banking & psu fund (formerly known as sundaram bank
101372,Kotak Bond Short Term Plan-(Payout of Income Distribution cum capital withdrawal option),kotak bond short term plan-(payout of income distribution cu
101561,Sundaram Short Term Debt Fund Regular Plan- Income Distribution cum Capital Withdrawal (IDCW ),sundaram short term debt fund regular plan- income distribut
101562,Sundaram Short Term Debt Fund Regular Plan- Income Distribution cum Capital Withdrawal (IDCW),sundaram short term debt fund regular plan- income distribut
101599,HSBC Short Duration Fund - Regular Growth,hsbc short duration fund - regular growth
101656,Franklin India Dynamic Asset Allocation Active Fund of Funds-Growth,franklin india dynamic asset allocation active fund of funds
101657,Franklin India Dynamic Asset Allocation Active Fund of funds - IDCW,franklin india dynamic asset allocation active fund of funds
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,aditya birla sun life mip ii - savings 5 plan - monthly divi
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,aditya birla sun life mip ii - savings 5 plan - monthly grow
101818,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,aditya birla sun life regular savings fund - growth / paymen
101892,Kotak Money market Fund - (Monthly Payout of Income Distribution cum capital withdrawal option),kotak money market fund - (monthly payout of income distribu
101894,Kotak Money Market Fund - (Weekly Reinvestment of Income Distribution cum capital withdrawal option),kotak money market fund - (weekly reinvestment of income dis
101935,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Regular),sbi gilt fund - income distribution cum capital withdrawal o
101950,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 1 Yr),sbi gilt fund - income distribution cum capital withdrawal o
101951,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 2 Yrs),sbi gilt fund - income distribution cum capital withdrawal o
101952,SBI Gilt Fund - Income Distribution cum Capital Withdrawal Option (IDCW) - PF (Fixed Period - 3 Yrs),sbi gilt fund - income distribution cum capital withdrawal o
102184,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Dividend Plan,aditya birla sun life asset allocation fund-aggressive plan-
102185,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Growth Plan,aditya birla sun life asset allocation fund-aggressive plan-
102188,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Dividend Plan,aditya birla sun life asset allocation fund-conservative pla
102189,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Growth Plan,aditya birla sun life asset allocation fund-conservative pla
102546,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - IDCW,franklin india life stage fund of funds - 50's plus floating
102594,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Growth,icici prudential value fund (erstwhile value discovery fund)
102595,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - IDCW,icici prudential value fund (erstwhile value discovery fund)
102874,Kotak-Small Cap Fund - Payout of Income Distribution cum capital withdrawal option,kotak-small cap fund - payout of income distribution cum cap
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,aditya birla sun life monthly income - quarterly dividend -
103187,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan,aditya birla sun life banking & psu debt fund - regular plan
103190,Aditya Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Regular Plan,aditya birla sun life government securities fund - short ter
103338,Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option,kotak elss tax saver fund-payout of income distribution cum
103741,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option A -Dividend,ing income growth multi-manager fof scheme-30% equity plan o
103742,ING Income Growth Multi-Manager FoF Scheme-30% Equity Plan Option A -Growth,ing income growth multi-manager fof scheme-30% equity plan o
103743,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),sundaram consumption fund (formerly known as sundaram rural
104268,JM Money Manager Fund - Super Plus Plan - Dividend option - Daily dividend,jm money manager fund - super plus plan - dividend option -
104348,HSBC Low Duration Fund - Regular Monthly IDCW,hsbc low duration fund - regular monthly idcw
104351,HSBC Low Duration Fund - Regular Monthly IDCW,hsbc low duration fund - regular monthly idcw
104352,HSBC Low Duration Fund - Regular Monthly IDCW,hsbc low duration fund - regular monthly idcw
105650,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Dividend,icici prudential interval fund - monthly interval plan i - r
105651,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Growth,icici prudential interval fund - monthly interval plan i - r
105710,ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Growth,icici prudential interval fund - quarterly interval plan i -
105711,ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Dividend,icici prudential interval fund - quarterly interval plan i -
105882,Nippon India Interval Fund-Quarterly Interval Fund-Series-III-Institutional Plan-Growth Option,nippon india interval fund-quarterly interval fund-series-ii
105884,Nippon India Interval Fund-Quarterly Interval Fund-Series-III- Growth Option,nippon india interval fund-quarterly interval fund-series-ii
105907,ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Dividend,icici prudential interval fund - quarterly interval plan ii
105908,ICICI Prudential Interval Fund - Quarterly Interval Plan II - Retail Growth,icici prudential interval fund - quarterly interval plan ii
106058,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - I) - Inst Dividend Plan,uti fixed  income interval fund ( quarterly interval plan -
106102,JM Money Manager Fund - Super Plus Plan - Dividend option - Weekly dividend,jm money manager fund - super plus plan - dividend option -
106103,JM Money Manager Fund - Super Plus Plan - Dividend option - Fortnightly,jm money manager fund - super plus plan - dividend option -
106141,ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Dividend,icici prudential interval fund - quarterly interval plan iii
106142,ICICI Prudential Interval Fund - Quarterly Interval Plan III - Retail Growth,icici prudential interval fund - quarterly interval plan iii
106145,UTI - Fixed Income Interval Fund - Monthly Interval Plan  - Regular Plan - Growth Option,uti - fixed income interval fund - monthly interval plan  -
106217,SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Growth,sbi short horizon debt fund - ultra short term fund - instit
106221,SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),sbi short horizon debt fund - ultra short term fund - instit
106224,SBI Short Horizon Debt Fund - Ultra Short Term Fund - Institutional Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),sbi short horizon debt fund - ultra short term fund - instit
106228,SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),sbi short horizon debt fund - short term fund - retail divid
106229,SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),sbi short horizon debt fund - short term fund - retail divid
106230,SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),sbi short horizon debt fund - short term fund - retail divid
106290,ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Dividend,icici prudential interval fund - annual interval plan i - re
106292,ICICI Prudential Interval Fund - Annual Interval Plan I - Retail Growth,icici prudential interval fund - annual interval plan i - re
106339,UTI F I I F-Annual Interval Plan Series - II - Institutional  Growth Option,uti f i i f-annual interval plan series - ii - institutional
106340,UTI F I I F-Annual Interval Plan Series - II - Institutional Dividend Option,uti f i i f-annual interval plan series - ii - institutional
106366,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - III) -Regular Plan - Growth Option,uti fixed  income interval fund ( quarterly interval plan -
106368,UTI Fixed  Income Interval Fund ( Quarterly Interval Plan - III) - Inst Growth Plan,uti fixed  income interval fund ( quarterly interval plan -
106411,Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - Regular - IDCW,aditya birla sun life interval income fund - quarterly serie
106412,Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - Growth - Regular Plan,aditya birla sun life interval income fund - quarterly serie
106413,Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - institutional - IDCW,aditya birla sun life interval income fund - quarterly serie
106414,Aditya Birla Sun Life Interval Income Fund - Quarterly Series I- Institutional Growth,aditya birla sun life interval income fund - quarterly serie
106442,Kotak Global Emerging Market Overseas Equity Omni FOF - Payout of Income Distribution cum capital withdrawal option,kotak global emerging market overseas equity omni fof - payo
106523,PineBridge India Total Return Bond Fund- Institutional Plan-Growth Option,pinebridge india total return bond fund- institutional plan-
106524,PineBridge India Total Return Bond Fund- Institutional Plan-Daily Dividend Option,pinebridge india total return bond fund- institutional plan-
106525,PineBridge India Total Return Bond Fund- Institutional Plan-Monthly Dividend Option,pinebridge india total return bond fund- institutional plan-
106535,PineBridge India Total Return Bond Fund- Institutional Plan-Weekly Dividend Option,pinebridge india total return bond fund- institutional plan-
106549,UTI - Fixed Income Interval Fund - Monthly Interval Plan - Institutional Dividend Option,uti - fixed income interval fund - monthly interval plan - i
106550,UTI - Fixed Income Interval Fund - Monthly Interval Plan - Institutional Growth Option,uti - fixed income interval fund - monthly interval plan - i
106596,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - IDCW,dsp world gold mining overseas equity omni fof - regular pla
106597,DSP World Gold Mining Overseas Equity Omni FoF - Regular Plan - Growth,dsp world gold mining overseas equity omni fof - regular pla
106737,HSBC Dynamic Bond Fund - Regular Growth,hsbc dynamic bond fund - regular growth
106738,HSBC Dynamic Bond Fund - Regular Monthly IDCW,hsbc dynamic bond fund - regular monthly idcw
106739,HSBC Dynamic Bond Fund - Regular Monthly IDCW,hsbc dynamic bond fund - regular monthly idcw
106741,HSBC Dynamic Bond Fund - Regular Monthly IDCW,hsbc dynamic bond fund - regular monthly idcw
106762,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Dividend,icici prudential interval fund - annual interval plan ii - r
106763,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Growth,icici prudential interval fund - annual interval plan ii - r
106770,HSBC Dynamic Bond Fund - Regular Monthly IDCW,hsbc dynamic bond fund - regular monthly idcw
106777,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Growth,icici prudential interval fund - annual interval plan iii -
106778,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Dividend,icici prudential interval fund - annual interval plan iii -
106780,ICICI Prudential Interval Fund Annual Interval Plan III - Dividend,icici prudential interval fund annual interval plan iii - di
106828,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Dividend,icici prudential interval fund ii - quarterly interval plan
106829,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Retail Growth,icici prudential interval fund ii - quarterly interval plan
106832,ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Dividend,icici prudential interval fund - annual interval plan iv - r
106833,ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Growth,icici prudential interval fund - annual interval plan iv - r
106842,Kotak Money Market Fund - (Daily Reinvestment of Income Distribution cum capital withdrawal option),kotak money market fund - (daily reinvestment of income dist
106852,ICICI Prudential Interval Fund - Half Yearly Interval Plan II - Retail Dividend,icici prudential interval fund - half yearly interval plan i
106853,ICICI Prudential Interval Fund - Half Yearly Interval Plan II - Retail Growth,icici prudential interval fund - half yearly interval plan i
106876,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Regular Plan,aditya birla sun life international equity fund - plan b - g
106885,ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Dividend,icici prudential interval fund ii - quarterly interval plan
106886,ICICI Prudential Interval Fund II - Quarterly Interval Plan B - Retail Growth,icici prudential interval fund ii - quarterly interval plan
106976,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Growth,icici prudential interval fund ii - quarterly interval plan
106977,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Dividend,icici prudential interval fund ii - quarterly interval plan
107071,UTI Fixed Interval Income Fund (Annual Interval Plan) Series IV - Regular Plan - Growth Option,uti fixed interval income fund (annual interval plan) series
107119,Tata Fixed Income Portfolio Fund - Scheme A1 - Institutional Plan - Monthly Dividend,tata fixed income portfolio fund - scheme a1 - institutional
107120,Tata Fixed Income Portfolio Fund - Scheme A1 - Institutional Plan - Growth,tata fixed income portfolio fund - scheme a1 - institutional
107125,Tata Fixed Income Portfolio Fund - Scheme A2 - Regular Plan - Monthly Dividend,tata fixed income portfolio fund - scheme a2 - regular plan
107126,Tata Fixed Income Portfolio Fund - Scheme A2 - Regular Plan - Growth,tata fixed income portfolio fund - scheme a2 - regular plan
107129,Tata Fixed Income Portfolio Fund - Scheme A3 - Regular Plan - Growth,tata fixed income portfolio fund - scheme a3 - regular plan
107130,Tata Fixed Income Portfolio Fund - Scheme A3 - Regular Plan - Monthly Dividend,tata fixed income portfolio fund - scheme a3 - regular plan
107138,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Dividend,icici prudential interval fund ii - quarterly interval plan
107139,ICICI Prudential Interval Fund II - Quarterly Interval Plan D - Retail Growth,icici prudential interval fund ii - quarterly interval plan
107144,Tata Fixed Income Portfolio Fund - Scheme B2 - Regular Plan - Quarterly Dividend,tata fixed income portfolio fund - scheme b2 - regular plan
107145,Tata Fixed Income Portfolio Fund - Scheme B2 - Regular Plan - Monthly Dividend,tata fixed income portfolio fund - scheme b2 - regular plan
107146,Tata Fixed Income Portfolio Fund - Scheme B2 - Regular Plan - Growth,tata fixed income portfolio fund - scheme b2 - regular plan
107150,Tata Fixed Income Portfolio Fund - Scheme B3 - Regular Plan - Growth,tata fixed income portfolio fund - scheme b3 - regular plan
107151,Tata Fixed Income Portfolio Fund - Scheme B3 - Regular Plan - Monthly Dividend,tata fixed income portfolio fund - scheme b3 - regular plan
