scheme_code,prediction_date,status
103490,2021-03-31,retained
111549,2021-03-31,retained
118267,2021-03-31,retained
118347,2018-03-31,retained
118424,2021-03-31,retained
118479,2019-03-31,retained
118482,2019-03-31,retained
118485,2018-03-31,retained
118485,2019-03-31,retained
118489,2018-03-31,retained
118510,2021-03-31,retained
118531,2021-03-31,retained
118540,2021-03-31,retained
118543,2018-03-31,retained
118543,2019-03-31,retained
118546,2021-03-31,retained
118548,2018-03-31,retained
118548,2019-03-31,retained
118559,2018-03-31,retained
118574,2018-03-31,retained
118581,2018-03-31,retained
118581,2019-03-31,retained
118615,2018-03-31,retained
118615,2019-03-31,retained
118615,2021-03-31,retained
118624,2021-03-31,retained
118650,2021-03-31,retained
118651,2021-03-31,retained
118672,2019-03-31,retained
118722,2021-03-31,retained
118724,2021-03-31,retained
118726,2018-03-31,retained
118741,2019-03-31,retained
118742,2019-03-31,retained
118758,2019-03-31,retained
118759,2019-03-31,retained
118762,2021-03-31,retained
118763,2021-03-31,retained
118785,2018-03-31,retained
118785,2019-03-31,retained
118791,2018-03-31,retained
118791,2019-03-31,retained
118870,2018-03-31,retained
118870,2019-03-31,retained
118881,2019-03-31,retained
118883,2019-03-31,retained
118950,2021-03-31,retained
118979,2019-03-31,retained
119060,2021-03-31,retained
119062,2021-03-31,retained
119128,2018-03-31,retained
119128,2019-03-31,retained
119128,2021-03-31,retained
119247,2021-03-31,retained
119250,2019-03-31,retained
119250,2021-03-31,retained
119256,2018-03-31,retained
119256,2019-03-31,retained
119292,2018-03-31,retained
119312,2019-03-31,retained
119312,2021-03-31,retained
119350,2019-03-31,retained
119350,2021-03-31,retained
119514,2021-03-31,retained
119517,2021-03-31,retained
119549,2021-03-31,retained
119581,2021-03-31,retained
119589,2021-03-31,retained
119602,2021-03-31,retained
119605,2019-03-31,retained
119620,2021-03-31,retained
119646,2021-03-31,retained
119648,2018-03-31,retained
119648,2019-03-31,retained
119719,2021-03-31,retained
119723,2021-03-31,retained
119827,2018-03-31,retained
119827,2019-03-31,retained
119843,2018-03-31,retained
120046,2021-03-31,retained
120154,2018-03-31,retained
120154,2021-03-31,retained
120186,2019-03-31,retained
120186,2020-03-31,retained
120242,2018-03-31,retained
120242,2019-03-31,retained
120242,2021-03-31,retained
120261,2021-03-31,retained
120264,2018-03-31,retained
120267,2019-03-31,retained
120285,2018-03-31,retained
120307,2018-03-31,retained
120307,2019-03-31,retained
120308,2018-03-31,retained
120308,2019-03-31,retained
120333,2021-03-31,retained
120351,2019-03-31,retained
120351,2021-03-31,retained
120377,2021-03-31,retained
120395,2021-03-31,retained
120484,2019-03-31,retained
120490,2019-03-31,retained
120490,2021-03-31,retained
120517,2021-03-31,retained
120524,2021-03-31,retained
120591,2019-03-31,retained
120603,2018-03-31,retained
120603,2019-03-31,retained
120621,2021-03-31,retained
120665,2019-03-31,retained
120665,2021-03-31,retained
120674,2019-03-31,retained
120674,2021-03-31,retained
120679,2018-03-31,retained
120679,2019-03-31,retained
120682,2021-03-31,retained
120688,2021-03-31,retained
120716,2019-03-31,retained
120728,2021-03-31,retained
120751,2019-03-31,retained
120779,2018-03-31,retained
120780,2019-03-31,retained
120780,2021-03-31,retained
120782,2021-03-31,retained
120821,2021-03-31,retained
120841,2018-03-31,retained
120841,2019-03-31,retained
125711,2021-03-31,retained
127042,2021-03-31,retained
129193,2021-03-31,retained
129200,2021-03-31,retained
129212,2021-03-31,retained
130498,2021-03-31,retained
130543,2021-03-31,retained
130860,2021-03-31,retained
130861,2021-03-31,retained
131670,2021-03-31,retained
131865,2021-03-31,retained
132140,2021-03-31,retained
133801,2021-03-31,retained
135762,2021-03-31,retained
135810,2021-03-31,retained
