scheme_code,scheme_name,normalized_underlying_name,AMC,plan_classification,classification_confidence,category,category_status,prediction_date,past_start_intended,past_start_actual,prediction_NAV_date,future_end_intended,future_end_actual,past_5y_CAGR,future_5y_CAGR,success_future_ge_12,identity_status,discontinuation_status,successor_scheme_code,window_status,source_file_ids
103490,Quantum Value Fund - Direct Plan Growth Option,quantum value fund,quantum,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.6794,11.3156,False,unverified,active,,complete,AMFI
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,quantum elss tax saver fund,quantum,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.7998,11.4442,False,unverified,active,,complete,AMFI
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,canara robeco infrastructure fund,canara,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.296,22.8966,True,unverified,active,,complete,AMFI
118347,IDBI NIFTY 50  Index Fund Growth Direct,idbi nifty 50 index fund,idbi,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.5917,12.0301,True,unverified,active,,complete,AMFI
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,flexi cap fund,flexi,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.3179,11.4965,False,unverified,active,,complete,AMFI
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,large cap fund,large,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.0745,16.5135,True,unverified,active,,complete,AMFI
118482,BANDHAN Nifty 50 Index Fund-Direct Plan-Growth,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.7735,15.0586,True,unverified,active,,complete,AMFI
118485,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,aggressive hybrid passive fof,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.4012,7.104,False,unverified,active,,complete,AMFI
118485,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,aggressive hybrid passive fof,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,11.1283,12.2281,True,unverified,active,,complete,AMFI
118489,Bandhan Multi-Asset Passive FOF - Direct Plan - Growth,multi asset passive fof,multi,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.1435,6.8718,False,unverified,active,,complete,AMFI
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,india large & mid cap fund,india,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.4427,12.0962,True,unverified,active,,complete,AMFI
118531,Franklin India Large Cap Fund- Direct - Growth,india large cap fund,india,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.5465,10.0356,False,unverified,active,,complete,AMFI
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,india elss tax saver fund,india,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.2295,13.9864,True,unverified,active,,complete,AMFI
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,india dynamic asset allocation active fund of funds,india,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.4902,9.2845,False,unverified,active,,complete,AMFI
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,india dynamic asset allocation active fund of funds,india,Direct Growth,high,FoF/International,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,12.1669,12.7041,True,unverified,active,,complete,AMFI
118546,Franklin India Aggressive Hybrid Fund - Direct - Growth,india aggressive hybrid fund,india,Direct Growth,high,Hybrid,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3748,11.3502,False,unverified,active,,complete,AMFI
118548,Franklin India Retirement Fund - Direct - Growth,india retirement fund,india,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9396,7.3791,False,unverified,active,,complete,AMFI
118548,Franklin India Retirement Fund - Direct - Growth,india retirement fund,india,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.2345,9.6441,False,unverified,active,,complete,AMFI
118559,Franklin Asian Equity Fund - Direct - Growth,asian equity fund,asian,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.4938,3.508,False,unverified,active,,complete,AMFI
118574,Franklin India Conservative Hybrid Fund - Direct - GROWTH,india conservative hybrid fund,india,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,11.0077,6.8786,False,unverified,active,,complete,AMFI
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,india index fund nse nifty 50 index fund,india,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9207,11.8155,False,unverified,active,,complete,AMFI
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,india index fund nse nifty 50 index fund,india,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.2451,14.5427,True,unverified,active,,complete,AMFI
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.6292,11.8665,False,unverified,active,,complete,AMFI
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-31,2024-03-31,2024-03-31,12.1165,15.613,True,unverified,active,,complete,AMFI
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.91,10.5154,False,unverified,active,,complete,AMFI
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,edelweiss aggressive hybrid fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.2279,14.8855,True,unverified,active,,complete,AMFI
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,multi cap fund,multi,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.9546,19.6023,True,unverified,active,,complete,AMFI
118651,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,multi cap fund,multi,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.9546,19.6023,True,unverified,active,,complete,AMFI
118672,Nippon India Gilt  Fund - Direct Plan Growth Plan - Growth Option,gilt fund,gilt,Direct Growth,high,Debt,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,11.8207,7.8802,False,unverified,active,,complete,AMFI
118722,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus,consumption fund,consumption,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3783,14.5507,True,unverified,active,,complete,AMFI
118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,consumption fund,consumption,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3783,14.5507,True,unverified,active,,complete,AMFI
118726,Nippon India Conservative Hybrid  Fund - Direct Plan Growth Plan - Growth Option,conservative hybrid fund,conservative,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.1348,3.6762,False,unverified,active,,complete,AMFI
118741,Nippon India Index Fund - Nifty 50 Plan - Direct Plan Growth Plan - Growth Option,index fund nifty 50,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.5224,14.7989,True,unverified,active,,complete,AMFI
118742,Nippon India Index Fund - Nifty 50 Plan - Direct Plan Growth Plan - Bonus Option,index fund nifty 50,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.5224,14.7989,True,unverified,active,,complete,AMFI
118758,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option,pharma fund,pharma,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.6542,24.1092,True,unverified,active,,complete,AMFI
118759,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,pharma fund,pharma,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.6542,24.1092,True,unverified,active,,complete,AMFI
118762,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Bonus Option,power & infra fund,power,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.9428,22.6857,True,unverified,active,,complete,AMFI
118763,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,power & infra fund,power,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.9428,22.6857,True,unverified,active,,complete,AMFI
118785,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.5466,13.1193,True,unverified,active,,complete,AMFI
118785,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.1772,14.7078,True,unverified,active,,complete,AMFI
118791,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.5465,13.1195,True,unverified,active,,complete,AMFI
118791,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.1772,14.7078,True,unverified,active,,complete,AMFI
118870,Taurus Large Cap Fund - Direct Plan - Growth,taurus large cap fund,taurus,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.6736,7.1137,False,unverified,active,,complete,AMFI
118870,Taurus Large Cap Fund - Direct Plan - Growth,taurus large cap fund,taurus,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.5068,13.7763,True,unverified,active,,complete,AMFI
118881,Taurus Nifty 50 Index Fund - Direct Plan - Growth,taurus nifty 50 index fund,taurus,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.6101,14.5576,True,unverified,active,,complete,AMFI
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,taurus flexi cap fund,taurus,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.7238,12.4341,True,unverified,active,,complete,AMFI
118950,HDFC Focused Fund - Growth Option - Direct Plan,focused fund,focused,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.0461,20.0983,True,unverified,active,,complete,AMFI
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,infrastructure fund,infrastructure,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.5877,19.6987,True,unverified,active,,complete,AMFI
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,elss tax saver,elss,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.2648,17.1963,True,unverified,active,,complete,AMFI
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,hybrid equity fund,hybrid,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.9316,10.183,False,unverified,active,,complete,AMFI
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-04-02,2023-03-31,2023-03-31,11.5504,8.8193,False,unverified,active,,complete,AMFI
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.007,11.0474,False,unverified,active,,complete,AMFI
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.4021,9.7356,False,unverified,active,,complete,AMFI
119247,DSP India T.I.G.E.R. Fund - Direct Plan - Growth,india t i g e r fund,india,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.2997,22.991,True,unverified,active,,complete,AMFI
119250,DSP Large Cap Fund - Direct Plan - Growth,large cap fund,large,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.6294,14.3838,True,unverified,active,,complete,AMFI
119250,DSP Large Cap Fund - Direct Plan - Growth,large cap fund,large,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3674,11.7407,False,unverified,active,,complete,AMFI
119256,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,retirement savings fund conservative,retirement,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.754,7.0944,False,unverified,active,,complete,AMFI
119256,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,retirement savings fund conservative,retirement,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,11.9743,8.8032,False,unverified,active,,complete,AMFI
119292,Union Flexi Cap Fund - Direct Plan - Growth Option,union flexi cap fund,union,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.7436,12.7964,True,unverified,active,,complete,AMFI
119312,Tata Childrens Fund-Direct Plan-Growth Option,childrens fund,childrens,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.1826,17.0062,True,unverified,active,,complete,AMFI
119312,Tata Childrens Fund-Direct Plan-Growth Option,childrens fund,childrens,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.468,9.0829,False,unverified,active,,complete,AMFI
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,bank of india large & mid cap fund,bank,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.4449,19.7494,True,unverified,active,,complete,AMFI
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,bank of india large & mid cap fund,bank,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.5872,14.6176,True,unverified,active,,complete,AMFI
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,infrastructure fund,infrastructure,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.911,18.0365,True,unverified,active,,complete,AMFI
119517,Aditya Birla Sun Life International Equity Fund - Growth - Direct Plan,international equity fund,international,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.8691,11.0934,False,unverified,active,,complete,AMFI
119549,Sundaram Value Fund Direct Plan - Growth,value fund,value,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.283,10.4501,False,unverified,active,,complete,AMFI
119581,Sundaram Mid Cap Fund Direct Plan - Growth,mid cap fund,mid,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.6905,18.1395,True,unverified,active,,complete,AMFI
119589,Sundaram Small Cap Fund Direct Plan - Growth,small cap fund,small,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.6062,17.6303,True,unverified,active,,complete,AMFI
119602,Sundaram Global Brand Theme-Equity Active FOF - Direct Growth,global brand theme equity active fof,global,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.8258,11.4638,False,unverified,active,,complete,AMFI
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,government securities fund,government,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-29,2024-03-31,2024-03-31,11.0019,8.0063,False,unverified,active,,complete,AMFI
119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,midcap fund,midcap,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3494,15.5901,True,unverified,active,,complete,AMFI
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,mnc fund,mnc,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.4509,5.2515,False,unverified,active,,complete,AMFI
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.4518,11.8412,False,unverified,active,,complete,AMFI
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.8321,14.6529,True,unverified,active,,complete,AMFI
119719,SBI Children's Fund - Savings Plan - DIRECT PLAN - GROWTH,children's fund savings,children's,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.0991,10.9891,False,unverified,active,,complete,AMFI
119723,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,elss tax saver fund,elss,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.2935,17.3523,True,unverified,active,,complete,AMFI
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,nifty index fund,nifty,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-03-31,2018-04-02,2023-03-31,2023-03-31,12.9002,12.0314,True,unverified,active,,complete,AMFI
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,nifty index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.4237,14.7016,True,unverified,active,,complete,AMFI
119843,SBI MULTI ASSET ALLOCATION FUND - DIRECT PLAN - GROWTH,multi asset allocation fund,multi,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-03-31,2018-03-28,2023-03-31,2023-03-31,11.5945,9.7411,False,unverified,active,,complete,AMFI
120046,HSBC Flexi Cap Fund - Direct Growth,hsbc flexi cap fund,hsbc,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.87,13.4872,True,unverified,active,,complete,AMFI
120154,Kotak Debt Hybrid - Growth - Direct,debt hybrid,debt,Direct Growth,high,Debt,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.334,9.9154,False,unverified,active,,complete,AMFI
