scheme_code,scheme_name,normalized_underlying_name,AMC,plan_classification,classification_confidence,category,category_status,prediction_date,past_start_intended,past_start_actual,prediction_NAV_date,future_end_intended,future_end_actual,past_5y_CAGR,future_5y_CAGR,success_future_ge_12,identity_status,discontinuation_status,successor_scheme_code,window_status,source_file_ids,pred_yr
118485,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,aggressive hybrid passive fof,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.4012,7.104,False,unverified,active,,complete,AMFI,2018
118485,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,aggressive hybrid passive fof,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,11.1283,12.2281,True,unverified,active,,complete,AMFI,2019
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,india dynamic asset allocation active fund of funds,india,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.4902,9.2845,False,unverified,active,,complete,AMFI,2018
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,india dynamic asset allocation active fund of funds,india,Direct Growth,high,FoF/International,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,12.1669,12.7041,True,unverified,active,,complete,AMFI,2019
118548,Franklin India Retirement Fund - Direct - Growth,india retirement fund,india,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9396,7.3791,False,unverified,active,,complete,AMFI,2018
118548,Franklin India Retirement Fund - Direct - Growth,india retirement fund,india,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.2345,9.6441,False,unverified,active,,complete,AMFI,2019
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,india index fund nse nifty 50 index fund,india,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9207,11.8155,False,unverified,active,,complete,AMFI,2018
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,india index fund nse nifty 50 index fund,india,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.2451,14.5427,True,unverified,active,,complete,AMFI,2019
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.6292,11.8665,False,unverified,active,,complete,AMFI,2018
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-31,2024-03-31,2024-03-31,12.1165,15.613,True,unverified,active,,complete,AMFI,2019
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,edelweiss balanced advantage fund,edelweiss,Direct Growth,high,Hybrid,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.91,10.5154,False,unverified,active,,complete,AMFI,2021
118785,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.5466,13.1193,True,unverified,active,,complete,AMFI,2018
118785,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.1772,14.7078,True,unverified,active,,complete,AMFI,2019
118791,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.5465,13.1195,True,unverified,active,,complete,AMFI,2018
118791,Nippon India Index Fund - BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,index fund bse sensex,index,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.1772,14.7078,True,unverified,active,,complete,AMFI,2019
118870,Taurus Large Cap Fund - Direct Plan - Growth,taurus large cap fund,taurus,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.6736,7.1137,False,unverified,active,,complete,AMFI,2018
118870,Taurus Large Cap Fund - Direct Plan - Growth,taurus large cap fund,taurus,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.5068,13.7763,True,unverified,active,,complete,AMFI,2019
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-04-02,2023-03-31,2023-03-31,11.5504,8.8193,False,unverified,active,,complete,AMFI,2018
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.007,11.0474,False,unverified,active,,complete,AMFI,2019
119128,HDFC Equity Savings Fund - Growth Option - Direct Plan,equity savings fund,equity,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.4021,9.7356,False,unverified,active,,complete,AMFI,2021
119250,DSP Large Cap Fund - Direct Plan - Growth,large cap fund,large,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.6294,14.3838,True,unverified,active,,complete,AMFI,2019
119250,DSP Large Cap Fund - Direct Plan - Growth,large cap fund,large,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.3674,11.7407,False,unverified,active,,complete,AMFI,2021
119256,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,retirement savings fund conservative,retirement,Direct Growth,high,Hybrid,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,12.754,7.0944,False,unverified,active,,complete,AMFI,2018
119256,Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,retirement savings fund conservative,retirement,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-04-02,2019-03-29,2024-03-31,2024-03-31,11.9743,8.8032,False,unverified,active,,complete,AMFI,2019
119312,Tata Childrens Fund-Direct Plan-Growth Option,childrens fund,childrens,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.1826,17.0062,True,unverified,active,,complete,AMFI,2019
119312,Tata Childrens Fund-Direct Plan-Growth Option,childrens fund,childrens,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.468,9.0829,False,unverified,active,,complete,AMFI,2021
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,bank of india large & mid cap fund,bank,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.4449,19.7494,True,unverified,active,,complete,AMFI,2019
119350,BANK OF INDIA Large & Mid Cap Fund Direct Plan-Growth,bank of india large & mid cap fund,bank,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.5872,14.6176,True,unverified,active,,complete,AMFI,2021
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.4518,11.8412,False,unverified,active,,complete,AMFI,2018
119648,Aditya Birla Sun Life Nifty 50 Index Fund - Growth - Direct Plan,nifty 50 index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.8321,14.6529,True,unverified,active,,complete,AMFI,2019
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,nifty index fund,nifty,Direct Growth,high,Other,current_category_proxy,2018-03-31,2013-03-31,2013-03-31,2018-04-02,2023-03-31,2023-03-31,12.9002,12.0314,True,unverified,active,,complete,AMFI,2018
119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,nifty index fund,nifty,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.4237,14.7016,True,unverified,active,,complete,AMFI,2019
120154,Kotak Debt Hybrid - Growth - Direct,debt hybrid,debt,Direct Growth,high,Debt,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.334,9.9154,False,unverified,active,,complete,AMFI,2018
120154,Kotak Debt Hybrid - Growth - Direct,debt hybrid,debt,Direct Growth,high,Debt,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.0207,9.621,False,unverified,active,,complete,AMFI,2021
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,us bluechip equity fund,us,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.3965,18.3534,True,unverified,active,,complete,AMFI,2019
120186,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth,us bluechip equity fund,us,Direct Growth,high,Equity,current_category_proxy,2020-03-31,2015-03-31,2015-03-31,2020-03-31,2025-03-31,2025-03-31,11.3041,16.8492,True,unverified,active,,complete,AMFI,2020
120242,ICICI Prudential Multi Sector Passive FOF - Direct Plan - Growth,multi sector passive fof,multi,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.9174,10.9165,False,unverified,active,,complete,AMFI,2018
