scheme_code,last_nav_date
100054,2015-12-11
100055,2015-12-11
100056,2015-12-11
100059,2013-02-22
100060,2018-06-01
100061,2018-06-01
100065,2018-06-01
100066,2018-06-01
100067,2023-04-13
100068,2022-03-13
100090,2017-07-28
100121,2018-06-01
100122,2018-06-01
100151,2014-02-28
100152,2021-12-31
100153,2021-12-31
100156,2021-12-31
100171,2021-02-12
100172,2021-02-12
100173,2021-02-12
100178,2014-10-09
100179,2014-10-09
100180,2014-10-09
100181,2014-10-09
100182,2014-10-09
100183,2014-10-09
100184,2014-10-09
100187,2014-10-09
100188,2014-10-09
100189,2014-10-09
100190,2014-10-09
100191,2014-10-09
100192,2014-10-09
100196,2014-10-09
100197,2014-10-09
100198,2014-10-09
100199,2014-10-09
100200,2014-10-09
100201,2014-10-09
100202,2014-10-09
100203,2014-10-09
100237,2015-03-18
100238,2016-08-01
100241,2013-07-17
100245,2013-03-14
100246,2013-08-11
100249,2019-09-07
100250,2019-09-07
100253,2019-09-07
100261,2013-08-13
100262,2013-08-13
100263,2013-08-13
100291,2016-10-20
100292,2016-10-20
100298,2021-09-17
100301,2016-10-21
100337,2020-04-03
100338,2020-04-03
100347,2014-06-26
100350,2014-07-07
100357,2022-09-16
100359,2020-04-24
100360,2014-09-08
100362,2014-03-26
100364,2022-09-16
100366,2020-04-24
100370,2018-05-24
100371,2018-05-24
100372,2018-05-24
100416,2017-10-27
100417,2022-09-23
100418,2022-09-23
100485,2018-06-04
100486,2018-06-04
100487,2014-07-28
100489,2014-07-28
100490,2018-06-04
100491,2018-06-04
100495,2015-06-08
100498,2022-08-07
100499,2022-08-07
100503,2022-08-07
100504,2022-08-07
100532,2015-06-05
100551,2014-08-11
100552,2014-08-11
100553,2014-08-11
100605,2013-09-26
100606,2013-09-26
100607,2013-09-26
100611,2015-12-09
100612,2016-09-16
100613,2016-09-16
100617,2021-12-31
100618,2021-12-31
100619,2021-12-31
100620,2021-12-31
100621,2021-12-31
100622,2021-12-31
100623,2021-12-31
100648,2018-05-02
100656,2014-07-10
100657,2014-07-10
100750,2014-03-26
100751,2014-03-26
100790,2016-03-29
100791,2013-09-26
100792,2013-09-26
100796,2020-04-03
100797,2020-04-03
100798,2020-04-03
100799,2020-04-03
100804,2016-03-03
100805,2016-03-03
100808,2014-08-22
100809,2014-08-22
100828,2016-10-21
100829,2016-10-21
100830,2016-10-21
100831,2013-10-13
100832,2013-09-23
100834,2021-09-17
100845,2018-05-19
100848,2018-05-19
100849,2018-05-19
100873,2019-05-10
100877,2019-05-10
100878,2015-02-17
100895,2021-12-31
100896,2021-12-31
100897,2021-12-31
